1990,sales (MwH),revenue ($1000)
"Akron City of",10066.0,495.0
"Alabama Power Co",38081901.0,2166967.0
"Alaska Electric Light&Power Co",267526.0,19973.0
"Alaska Village Elec Coop Inc",36726.0,13652.0
"Albany Water Gas & Light Comm",844729.0,51822.0
"Allamakee-Clayton El Coop Inc",112923.0,8323.0
"Anchorage City of",792395.0,64788.0
"Anderson City of",582164.0,33345.0
"Anoka Electric Coop",922125.0,69038.0
"Appalachian Power Co",22496736.0,1039633.0
"Arapahoe City of",7221.0,566.0
"Arcanum City of",18485.0,1081.0
"Arizona Public Service Co",15273760.0,1337446.0
"Arkansas Power & Light Co",14318830.0,1069329.0
"Associated Electric Coop Inc",1284330.0,48227.0
"Atlanta Power Co Inc",183.0,30.0
"Austin City of",6414547.0,418394.0
"Baker Electric Coop Inc",112091.0,8265.0
"Baltimore Gas & Electric Co",24620078.0,1680104.0
"Bamberg City of",38442.0,2303.0
"Bangor Hydro-Electric Co",1579397.0,131313.0
"Beauregard Electric Coop Inc",395387.0,32667.0
"Benham City of",5212.0,281.0
"Berkeley Electric Coop Inc",831071.0,61137.0
"Biwabik City of",5936.0,302.0
"Black Hills Corp",1184525.0,74827.0
"Black Warrior Elec Member Corp",229558.0,14482.0
"Blackstone Valley Electric Co",1236418.0,119556.0
"Blaine City of",51199.0,2077.0
"Block Island Power Co",6424.0,1568.0
"Blue Ridge Electric Coop Inc",493523.0,41323.0
"Bluffton City of",136359.0,6767.0
"Bonneville Power Admin",28286833.0,640440.0
"Boston Edison Co",12639602.0,1118044.0
"Brookings City of",154454.0,6420.0
"Brunswick Electric Member Corp",506038.0,46832.0
"Burke City of",6165.0,301.0
"Burlington City of",326109.0,27672.0
"Cambridge Electric Light Co",1288508.0,109127.0
"Caney Valley El Coop Assn Inc",48618.0,5150.0
"Carbon Power & Light Inc",73961.0,5340.0
"Carolina Power & Light Co",31182247.0,2126326.0
"Cascade Locks City of",17257.0,773.0
"Cass County Electric Coop Inc",356545.0,17774.0
"Cedar Falls City of",287904.0,12650.0
"Centel Corp",1079340.0,67441.0
"Central Alabama Electric Coop",289301.0,19147.0
"Central Hudson Gas & Elec Corp",4902209.0,391149.0
"Central Louisiana Elec Co Inc",5636404.0,319119.0
"Central Maine Power Co",9098615.0,677519.0
"Central Power & Light Co",14735889.0,894395.0
"Central Vermont Pub Serv Corp",1874462.0,179225.0
"Charles Mix Electric Assn Inc",34117.0,2564.0
"Chester Town of",4383.0,555.0
"Cheyenne Light Fuel & Power Co",632141.0,29455.0
"Chugach Electric Assn Inc",926515.0,66288.0
"Cincinnati Gas & Electric Co",15535386.0,893962.0
"Citizens Utilities Co",566598.0,63815.0
"Clay Electric Coop Inc",1522979.0,128088.0
"Clay-Union Electric Corp",42158.0,3588.0
"Cleveland Electric Illum Co",19191501.0,1570500.0
"Coast Electric Power Assn",678294.0,48088.0
"Cobb Electric Membership Corp",1551576.0,123344.0
"Cody City of",59568.0,3009.0
"Collins City of",24800.0,1369.0
"Colorado Springs City of",2810894.0,133629.0
"Columbus City of",543513.0,27584.0
"Columbus Electric Coop Inc",262257.0,14355.0
"Columbus Southern Power Co",12301719.0,689392.0
"Commonwealth Edison Co",70852787.0,5668670.0
"Commonwealth Electric Co",3244849.0,349607.0
"Concord Electric Co",431470.0,40956.0
"Connecticut Light & Power Co",20359634.0,1818883.0
"Consolidated Edison Co-NY Inc",35474230.0,4385937.0
"Consolidated Water Power Co",1012075.0,32341.0
"Consumers Power Co",28668298.0,1800242.0
"Continental Divide El Coop Inc",220077.0,18830.0
"Conway Corp",370421.0,20149.0
"Cordell City of",21384.0,1558.0
"Cornhusker Public Power Dist",179074.0,10023.0
"Cotton Electric Coop Inc",411248.0,27687.0
"Crow Wing Coop Power&Light Co",225890.0,19377.0
"Cuivre River Electric Coop Inc",434418.0,30820.0
