UTILITYID,UTILNAME,STATE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),COM_REV (Thousand $),COM_SALES (MwH),IND_REV (Thousand $),IND_SALES (MwH),OTH_REV (Thousand $),OTH_SALES (MwH),TOT_REV (Thousand $),TOT_SALES (MwH)
195,Alabama Power Co,AL,1997,1,85700,1356883,56156,881418,55271,1584254,1110,15820,198237,3838375
195,Alabama Power Co,AL,1997,2,68975,1004747,49625,766372,58946,1662460,1132,15472,178678,3449051
195,Alabama Power Co,AL,1997,3,62396,885132,54661,851294,59222,1735022,1217,16956,177496,3488404
195,Alabama Power Co,AL,1997,4,60295,827663,53499,836850,59681,1635044,1079,16124,174554,3315681
195,Alabama Power Co,AL,1997,5,70256,950547,60651,926795,71233,1795310,1190,17260,203330,3689912
195,Alabama Power Co,AL,1997,6,82887,1179775,61010,977536,67049,1740183,1354,16099,212300,3913593
195,Alabama Power Co,AL,1997,7,126699,1849444,74252,1177001,72666,1797452,1184,15961,274801,4839858
195,Alabama Power Co,AL,1997,8,118491,1673195,70682,1098724,74828,1820079,1213,16167,265214,4608165
195,Alabama Power Co,AL,1997,9,102988,1418949,70214,1070697,72936,1857193,1127,15517,247265,4362356
195,Alabama Power Co,AL,1997,10,73749,1018730,60941,960746,65363,1764449,1215,16740,201268,3760665
195,Alabama Power Co,AL,1997,11,66669,968207,57336,884484,56413,1646689,657,7479,181075,3506859
195,Alabama Power Co,AL,1997,12,78414,1203135,55123,898393,61982,1689776,1084,10793,196603,3802097
213,Alaska Electric Light&Power Co,AK,1997,1,1625,16295,370,3966,397,5096,465,5663,2857,31020
213,Alaska Electric Light&Power Co,AK,1997,2,1375,13720,358,3865,387,5060,459,5670,2579,28315
213,Alaska Electric Light&Power Co,AK,1997,3,1199,12150,314,3430,343,4497,408,5013,2264,25090
213,Alaska Electric Light&Power Co,AK,1997,4,1204,12010,324,3512,357,4671,417,5116,2302,25309
213,Alaska Electric Light&Power Co,AK,1997,5,988,9574,300,3176,348,4517,392,4731,2028,21998
213,Alaska Electric Light&Power Co,AK,1997,6,737,8375,239,3114,290,4576,308,4350,1574,20415
213,Alaska Electric Light&Power Co,AK,1997,7,693,7834,229,2961,283,4460,289,4103,1494,19358
213,Alaska Electric Light&Power Co,AK,1997,8,697,7917,245,3247,294,4762,297,4303,1533,20229
213,Alaska Electric Light&Power Co,AK,1997,9,732,8396,245,3261,294,4738,285,4494,1556,20889
213,Alaska Electric Light&Power Co,AK,1997,10,832,9788,246,3223,285,4486,341,5218,1704,22715
213,Alaska Electric Light&Power Co,AK,1997,11,1093,11013,318,3510,351,4717,423,5799,2185,25039
213,Alaska Electric Light&Power Co,AK,1997,12,1235,12650,320,3502,332,4394,428,5859,2315,26405
599,Anchorage City of,AK,1997,1,1599,16701,4811,62516,0,0,121,1128,6531,80345
599,Anchorage City of,AK,1997,2,1293,13819,4440,58989,0,0,109,997,5842,73805
599,Anchorage City of,AK,1997,3,1183,12161,4259,54526,0,0,102,638,5544,67325
599,Anchorage City of,AK,1997,4,1190,12168,4422,57307,0,0,101,492,5713,69697
599,Anchorage City of,AK,1997,5,1035,10352,4246,53553,0,0,100,417,5381,64322
599,Anchorage City of,AK,1997,6,975,9648,4326,54099,0,0,99,199,5400,63946
599,Anchorage City of,AK,1997,7,957,9433,4365,54752,0,0,100,84,5422,64269
599,Anchorage City of,AK,1997,8,1050,10514,4590,59585,0,0,102,227,5742,70326
599,Anchorage City of,AK,1997,9,1045,10454,4420,56979,0,0,99,292,5564,67725
599,Anchorage City of,AK,1997,10,1161,11817,4489,58657,0,0,106,615,5756,71089
599,Anchorage City of,AK,1997,11,1208,12389,4299,54400,0,0,109,780,5616,67569
599,Anchorage City of,AK,1997,12,1402,14652,4742,62441,0,0,106,752,6250,77845
689,Anoka Electric Coop,MN,1997,1,5142,71991,1938,36406,314,7177,77,885,7471,116459
689,Anoka Electric Coop,MN,1997,2,4405,62364,1520,28368,280,6646,49,490,6254,97868
689,Anoka Electric Coop,MN,1997,3,4506,62732,1766,32129,302,6487,73,859,6647,102207
689,Anoka Electric Coop,MN,1997,5,4290,52331,1883,31398,312,6705,75,905,6560,91339
689,Anoka Electric Coop,MN,1997,6,4942,59745,2655,42990,301,6424,148,1668,8046,110827
689,Anoka Electric Coop,MN,1997,7,5753,73142,2341,39855,281,6173,236,3401,8611,122571
689,Anoka Electric Coop,MN,1997,8,5402,70339,2049,33857,299,6814,173,2158,7923,113168
689,Anoka Electric Coop,MN,1997,9,4512,56278,2110,33920,282,6316,166,1959,7070,98473
689,Anoka Electric Coop,MN,1997,10,4121,55781,2019,38149,278,6363,97,1050,6515,101343
689,Anoka Electric Coop,MN,1997,11,4530,60973,2144,38755,269,6306,79,799,7022,106833
689,Anoka Electric Coop,MN,1997,12,5115,71078,1993,38952,294,6814,76,782,7478,117626
727,Appalachian Electric Coop,TN,1997,1,3305,57220,894,13685,306,7007,13,210,4518,78122
727,Appalachian Electric Coop,TN,1997,2,2956,50495,848,12799,290,6337,11,170,4105,69801
727,Appalachian Electric Coop,TN,1997,3,2334,38516,794,11898,285,6537,11,169,3424,57120
727,Appalachian Electric Coop,TN,1997,4,2135,34678,775,11549,285,6539,11,159,3206,52925
727,Appalachian Electric Coop,TN,1997,5,1912,30407,782,11615,283,6493,10,150,2987,48665
727,Appalachian Electric Coop,TN,1997,6,1847,29209,838,12738,297,6756,10,144,2992,48847
727,Appalachian Electric Coop,TN,1997,7,2449,40635,933,14209,327,7219,10,142,3719,62205
727,Appalachian Electric Coop,TN,1997,8,2509,41738,946,14612,323,7500,11,152,3789,64002
727,Appalachian Electric Coop,TN,1997,9,2343,38560,930,14235,313,6912,12,180,3598,59887
727,Appalachian Electric Coop,TN,1997,10,1989,29421,893,12294,297,6114,13,188,3192,48017
727,Appalachian Electric Coop,TN,1997,11,2550,39498,883,12313,288,5829,13,188,3734,57828
727,Appalachian Electric Coop,TN,1997,12,3238,52084,954,13438,313,6754,17,289,4522,72565
733,Appalachian Power Co,VA,1997,1,34381,654232,11265,240563,16183,464143,2760,56801,64589,1415739
733,Appalachian Power Co,WV,1997,1,29795,574002,14313,283009,15167,425596,257,3736,59532,1286343
733,Appalachian Power Co,VA,1997,2,26711,489414,9598,198032,15669,426041,2405,49175,54383,1162662
733,Appalachian Power Co,WV,1997,2,22926,431873,11991,230093,13461,382225,237,2903,48615,1047094
733,Appalachian Power Co,VA,1997,3,24439,422314,9816,199694,17107,473800,2378,49647,53740,1145455
733,Appalachian Power Co,WV,1997,3,21007,380704,12424,234282,15134,430956,251,3228,48816,1049170
733,Appalachian Power Co,VA,1997,4,23061,393994,9667,197870,16853,461929,2117,45489,51698,1099282
733,Appalachian Power Co,WV,1997,4,19459,348738,12090,229720,13833,393645,246,2644,45628,974747
733,Appalachian Power Co,VA,1997,5,20437,335014,9510,190995,17101,467399,2349,45573,49397,1038981
