UTILITYID,UTILNAME,STATE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),RES_CONS ,COM_REV (Thousand $),COM_SALES (MwH),COM_CONS,IND_REV (Thousand $),IND_SALES (MwH),IND_CONS,OTH_REV (Thousand $),OTH_SALES (MwH),OTH_CONS,TOT_REV (Thousand $),TOT_SALES (MwH),TOT_CONS
195,Alabama Power Company,AL,2000,1,93886,1452522,1122486,60942,979391,188372,63824,1899384,4878,1277,17184,702,219929,4348481,1316438
195,Alabama Power Company,AL,2000,2,78325,1212682,1123764,56146,913581,188804,58046,1691555,4874,1098,14548,703,193615,3832366,1318145
195,Alabama Power Company,AL,2000,3,67279,915449,1124099,61004,938705,189401,63038,1754217,4856,1261,17489,705,192582,3625860,1319061
195,Alabama Power Company,AL,2000,4,68382,908346,1124576,59774,914825,190097,63924,1871814,4853,1246,15565,707,193326,3710550,1320233
195,Alabama Power Company,AL,2000,5,98447,1289297,1125391,77739,1145132,190749,82488,1882770,4848,1670,22754,705,260344,4339953,1321693
195,Alabama Power Company,AL,2000,6,128965,1747847,1126859,79436,1220221,191238,84314,2018814,4846,1186,15026,704,293901,5001908,1323647
195,Alabama Power Company,AL,2000,7,164373,2089961,1127368,92142,1310130,191546,88315,1906258,4835,1576,18803,705,346406,5325152,1324454
195,Alabama Power Company,AL,2000,8,155037,1967979,1130378,91982,1304205,192051,90395,1884678,4828,1279,15620,706,338693,5172482,1327963
195,Alabama Power Company,AL,2000,9,114223,1562268,1130713,76064,1181586,192407,69346,1903730,4818,1231,16173,707,260864,4663757,1328645
195,Alabama Power Company,AL,2000,10,71115,975575,1130410,64534,1040170,192702,67615,1658663,4812,1284,17286,707,204548,3691694,1328631
195,Alabama Power Company,AL,2000,11,73187,1028002,1131620,65986,1004330,193020,66785,1928202,4825,1383,17626,708,207341,3978160,1330173
195,Alabama Power Company,AL,2000,12,109290,1621894,1132410,68946,1036452,193106,61578,1701320,4819,1344,17340,709,241158,4377006,1331044
213,Alaska Electric Light&Power Co,AK,2000,1,1468,14187,12609,381,3936,1364,412,5175,92,509,6674,615,2770,29972,14680
213,Alaska Electric Light&Power Co,AK,2000,2,1332,13419,12613,365,4044,1373,372,4854,92,472,6415,616,2541,28732,14694
213,Alaska Electric Light&Power Co,AK,2000,3,1157,11810,12641,332,3748,1371,352,4689,93,468,6752,616,2309,26999,14721
