UTILITYID,UTILNAME,STATE_CODE,YEAR,MONTH,TOT_REV (Thousand $),TOT_SALES (MwH), TOTAL CUSTOMERS 
84,A & N Electric Coop,MD,2012,1,28.64,231.14,323
84,A & N Electric Coop,VA,2012,1,5920.67,53564.74,34302
84,A & N Electric Coop,MD,2012,2,33.6,277.22,323
84,A & N Electric Coop,VA,2012,2,7048.35,65302.28,34280
84,A & N Electric Coop,MD,2012,3,26.94,214.8,324
84,A & N Electric Coop,VA,2012,3,6396.11,57763.86,34280
84,A & N Electric Coop,MD,2012,4,18.29,134.78,322
84,A & N Electric Coop,VA,2012,4,4750.58,42359.37,34248
84,A & N Electric Coop,MD,2012,5,18.72,143.43,322
84,A & N Electric Coop,VA,2012,5,4545.84,42142.49,34328
84,A & N Electric Coop,MD,2012,6,24.09,193.45,322
84,A & N Electric Coop,VA,2012,6,4834.41,44320.6,34373
84,A & N Electric Coop,MD,2012,7,35.41,303.11,319
84,A & N Electric Coop,VA,2012,7,6152.04,57071.34,34410
84,A & N Electric Coop,MD,2012,8,34.31,291.98,319
84,A & N Electric Coop,VA,2012,8,7493.11,70240.37,34460
84,A & N Electric Coop,MD,2012,9,31.71,266.38,321
84,A & N Electric Coop,VA,2012,9,6447.91,60308.73,34413
84,A & N Electric Coop,MD,2012,10,20.08,155.84,321
84,A & N Electric Coop,VA,2012,10,5167.98,48452.94,34409
84,A & N Electric Coop,MD,2012,11,22.84,185.73,323
84,A & N Electric Coop,VA,2012,11,5630.29,54504.18,34348
84,A & N Electric Coop,MD,2012,12,26.18,219.47,321
84,A & N Electric Coop,VA,2012,12,5407.64,51169.16,34314
176,Ajo Improvement Co,AZ,2012,1,86.81,817,1040
176,Ajo Improvement Co,AZ,2012,2,81.64,770,1043
176,Ajo Improvement Co,AZ,2012,3,90.46,943,1046
176,Ajo Improvement Co,AZ,2012,4,83.62,822,1045
176,Ajo Improvement Co,AZ,2012,5,54.19,890,1042
176,Ajo Improvement Co,AZ,2012,6,110.06,1454,1016
176,Ajo Improvement Co,AZ,2012,7,85.66,1190.62,1010
176,Ajo Improvement Co,AZ,2012,8,106.97,1402,1009
176,Ajo Improvement Co,AZ,2012,9,78.25,1053,1001
176,Ajo Improvement Co,AZ,2012,10,76.11,987,1023
176,Ajo Improvement Co,AZ,2012,11,56.93,790,1016
176,Ajo Improvement Co,AZ,2012,12,47.05,671,1004
195,Alabama Power Co,AL,2012,1,376488,4380797,1434262
195,Alabama Power Co,AL,2012,2,355438,4063940,1436013
195,Alabama Power Co,AL,2012,3,360521,4118595,1437415
195,Alabama Power Co,AL,2012,4,359242,4051493,1438347
195,Alabama Power Co,AL,2012,5,420520,4675629,1438252
195,Alabama Power Co,AL,2012,6,473926,4896154,1439196
195,Alabama Power Co,AL,2012,7,538009,5430472,1438779
195,Alabama Power Co,AL,2012,8,507170,5161164,1440103
195,Alabama Power Co,AL,2012,9,431088,4571436,1440194
195,Alabama Power Co,AL,2012,10,369856,4116561,1439337
195,Alabama Power Co,AL,2012,11,355947,4094223,1439904
195,Alabama Power Co,AL,2012,12,384876,4386303,1440488
213,Alaska Electric Light&Power Co,AK,2012,1,4073.44,37284.99,16136
213,Alaska Electric Light&Power Co,AK,2012,2,4141.12,38623.53,16124
213,Alaska Electric Light&Power Co,AK,2012,3,3753.07,34967.42,16117
213,Alaska Electric Light&Power Co,AK,2012,4,3751.06,33831.37,16144
213,Alaska Electric Light&Power Co,AK,2012,5,3416.54,30068.11,16182
213,Alaska Electric Light&Power Co,AK,2012,6,2872.24,31760.54,16220
213,Alaska Electric Light&Power Co,AK,2012,7,2771.28,30688.32,16228
213,Alaska Electric Light&Power Co,AK,2012,8,2907.39,30702.18,16230
213,Alaska Electric Light&Power Co,AK,2012,9,2914.09,31235.41,16225
213,Alaska Electric Light&Power Co,AK,2012,10,2908.82,30063.29,16209
213,Alaska Electric Light&Power Co,AK,2012,11,3872.11,35681.32,16159
213,Alaska Electric Light&Power Co,AK,2012,12,4228.38,34237.57,16181
219,Alaska Power and Telephone Co,AK,2012,1,1675.27,5759.24,6859
219,Alaska Power and Telephone Co,AK,2012,2,1682.86,5527.12,6829
