UTILITY CHARATERISTICS,,,,,,,TOTAL,,
,,,,,,,Revenue,Sales,Customers
Year,Month,Utility Number,Utility Name,State,Ownership,Data Status,Thousands Dollars,Megawatthours,Count
2015,1,0,Adjustment 2015,AK,,Final,13666,60703,34941
2015,1,0,Adjustment 2015,AL,,Final,172628,1689813,799130
2015,1,0,Adjustment 2015,AR,,Final,75876,910926,417579
2015,1,0,Adjustment 2015,AZ,,Final,32845,350562,178262
2015,1,0,Adjustment 2015,CA,,Final,420868,3509237,975154
2015,1,0,Adjustment 2015,CO,,Final,84698,857479,502388
2015,1,0,Adjustment 2015,CT,,Final,259048,1479293,574181
2015,1,0,Adjustment 2015,DC,,Final,59920,464527,32719
2015,1,0,Adjustment 2015,DE,,Final,42110,456178,63941
2015,1,0,Adjustment 2015,FL,,Final,422057,3946884,2044547
2015,1,0,Adjustment 2015,GA,,Final,385172,3867630,1892620
2015,1,0,Adjustment 2015,HI,,Final,120,585,-8900
2015,1,0,Adjustment 2015,IA,,Final,103682,1143951,436664
2015,1,0,Adjustment 2015,ID,,Final,11456,158597,72522
2015,1,0,Adjustment 2015,IL,,Final,876488,9643240,3679070
2015,1,0,Adjustment 2015,IN,,Final,199971,1936439,814190
2015,1,0,Adjustment 2015,KS,,Final,86322,821948,402480
2015,1,0,Adjustment 2015,KY,,Final,165505,1779079,790154
2015,1,0,Adjustment 2015,LA,,Final,115852,1468828,588401
2015,1,0,Adjustment 2015,MA,,Final,438566,2861407,1030199
2015,1,0,Adjustment 2015,MD,,Final,368376,3219494,792428
2015,1,0,Adjustment 2015,ME,,Final,67247,542433,207011
2015,1,0,Adjustment 2015,MI,,Final,148782,1860079,486900
2015,1,0,Adjustment 2015,MN,,Final,172000,1787662,786453
2015,1,0,Adjustment 2015,MO,,Final,175914,1832717,923155
2015,1,0,Adjustment 2015,MS,,Final,133256,1325699,596169
2015,1,0,Adjustment 2015,MT,,Final,30348,451076,104189
2015,1,0,Adjustment 2015,NC,,Final,281125,2593056,1306671
2015,1,0,Adjustment 2015,ND,,Final,19365,259799,56441
2015,1,0,Adjustment 2015,NE,,Final,64804,678642,284239
2015,1,0,Adjustment 2015,NH,,Final,48709,358021,126777
2015,1,0,Adjustment 2015,NJ,,Final,410526,3214924,660122
2015,1,0,Adjustment 2015,NM,,Final,33695,345695,206275
2015,1,0,Adjustment 2015,NV,,Final,14799,228744,23624
2015,1,0,Adjustment 2015,NY,,Final,914957,7016221,1859115
2015,1,0,Adjustment 2015,OH,,Final,960007,10305460,3316884
2015,1,0,Adjustment 2015,OK,,Final,121370,1345698,580905
2015,1,0,Adjustment 2015,OR,,Final,75623,1149416,381708
2015,1,0,Adjustment 2015,PA,,Final,836351,9051822,2369530
2015,1,0,Adjustment 2015,RI,,Final,33241,219913,34783
2015,1,0,Adjustment 2015,SC,,Final,166190,1495578,779053
2015,1,0,Adjustment 2015,SD,,Final,23362,248167,97904
2015,1,0,Adjustment 2015,TN,,Final,250519,2656528,1055926
2015,1,0,Adjustment 2015,TX,,Final,2496907,26850883,9801520
2015,1,0,Adjustment 2015,UT,,Final,18417,231248,160086
2015,1,0,Adjustment 2015,VA,,Final,114244,1072766,531313
2015,1,0,Adjustment 2015,VT,,Final,7271,45852,46009
2015,1,0,Adjustment 2015,WA,,Final,133108,2385405,679879
2015,1,0,Adjustment 2015,WI,,Final,113400,1145726,538683
2015,1,0,Adjustment 2015,WV,,Final,1860,16203,10520
2015,1,0,Adjustment 2015,WY,,Final,10758,104101,49814
2015,2,0,Adjustment 2015,AK,,Final,12948,55464,34864
2015,2,0,Adjustment 2015,AL,,Final,163337,1547903,798988
2015,2,0,Adjustment 2015,AR,,Final,71838,835083,417506
2015,2,0,Adjustment 2015,AZ,,Final,30259,317295,177440
2015,2,0,Adjustment 2015,CA,,Final,383699,3246374,941038
2015,2,0,Adjustment 2015,CO,,Final,78036,774686,502479
2015,2,0,Adjustment 2015,CT,,Final,265840,1471065,568077
2015,2,0,Adjustment 2015,DC,,Final,90915,794751,39066
2015,2,0,Adjustment 2015,DE,,Final,44618,424246,72180
2015,2,0,Adjustment 2015,FL,,Final,399177,3610463,2044404
2015,2,0,Adjustment 2015,GA,,Final,364092,3541168,1892522
2015,2,0,Adjustment 2015,HI,,Final,116,553,-9138
2015,2,0,Adjustment 2015,IA,,Final,96509,1033200,435996
2015,2,0,Adjustment 2015,ID,,Final,10465,141169,72461
2015,2,0,Adjustment 2015,IL,,Final,841608,9048091,3635841
2015,2,0,Adjustment 2015,IN,,Final,196987,1895612,814555
2015,2,0,Adjustment 2015,KS,,Final,81975,754824,402312
2015,2,0,Adjustment 2015,KY,,Final,162812,1749146,790507
2015,2,0,Adjustment 2015,LA,,Final,109649,1346284,588331
2015,2,0,Adjustment 2015,MA,,Final,456423,2866597,1083942
2015,2,0,Adjustment 2015,MD,,Final,396120,3426505,812214
2015,2,0,Adjustment 2015,ME,,Final,70479,504603,204743
2015,2,0,Adjustment 2015,MI,,Final,125787,1482875,486185
2015,2,0,Adjustment 2015,MN,,Final,159712,1606494,785379
2015,2,0,Adjustment 2015,MO,,Final,173015,1809026,923573
2015,2,0,Adjustment 2015,MS,,Final,126198,1214990,596055
2015,2,0,Adjustment 2015,MT,,Final,28034,424387,104031
2015,2,0,Adjustment 2015,NC,,Final,265749,2373443,1306569
2015,2,0,Adjustment 2015,ND,,Final,18603,238859,56387
2015,2,0,Adjustment 2015,NE,,Final,61213,615112,283696
2015,2,0,Adjustment 2015,NH,,Final,51487,354340,123555
